time	I(R1)	I(R12)
0.000000000000000e+00	-5.840213e-07	1.039324e-03
9.999999717180685e-10	-5.846497e-07	1.039324e-03
1.999999943436137e-09	-5.852780e-07	1.039324e-03
3.999999886872274e-09	-5.865346e-07	1.039324e-03
7.999999773744548e-09	-5.890479e-07	1.039324e-03
1.599999954748910e-08	-5.940744e-07	1.039324e-03
3.199999909497819e-08	-6.041272e-07	1.039324e-03
6.399999818995639e-08	-6.242324e-07	1.039324e-03
1.279999963799128e-07	-6.644410e-07	1.039324e-03
2.559999927598255e-07	-7.448503e-07	1.039324e-03
5.119999855196511e-07	-9.056379e-07	1.039325e-03
1.023999971039302e-06	-1.227089e-06	1.039329e-03
2.047999942078604e-06	-1.869495e-06	1.039361e-03
4.095999884157209e-06	-3.152365e-06	1.039602e-03
8.191999768314417e-06	-5.710844e-06	1.041316e-03
1.638399953662883e-05	-1.080205e-05	1.052351e-03
2.919519308688746e-05	-1.869692e-05	1.094005e-03
4.420467847068848e-05	-2.781577e-05	1.176586e-03
5.972471734335499e-05	-3.702684e-05	1.284592e-03
7.545325165232655e-05	-4.603470e-05	1.399106e-03
9.590406452918417e-05	-5.708232e-05	1.538325e-03
1.208707114327600e-04	-6.928313e-05	1.687561e-03
1.553613341091983e-04	-8.329301e-05	1.861342e-03
2.004893778099909e-04	-9.569694e-05	2.032238e-03
2.315256823664514e-04	-9.985590e-05	2.105826e-03
2.581073888824361e-04	-1.004280e-04	2.136405e-03
2.781992087532396e-04	-9.901423e-05	2.139138e-03
3.004931013735467e-04	-9.561354e-05	2.121722e-03
3.163086758629740e-04	-9.206712e-05	2.096568e-03
3.290675323308625e-04	-8.854644e-05	2.068667e-03
3.409594771663546e-04	-8.475580e-05	2.036712e-03
3.555824686335430e-04	-7.945347e-05	1.989941e-03
3.670523292539295e-04	-7.482665e-05	1.947628e-03
3.783572502372335e-04	-6.988928e-05	1.901358e-03
4.009670922038414e-04	-5.899323e-05	1.796136e-03
4.461867761370572e-04	-3.391698e-05	1.543272e-03
5.126123318242806e-04	7.130803e-06	1.106109e-03
5.800617330760785e-04	4.741445e-05	6.488934e-04
6.459352678967505e-04	7.861080e-05	2.668660e-04
7.217605861162135e-04	9.775200e-05	-9.170195e-06
7.544109783758560e-04	9.933648e-05	-6.001259e-05
7.721821230338436e-04	9.843554e-05	-6.713736e-05
8.010744828218821e-04	9.434654e-05	-4.828569e-05
8.476175480273620e-04	8.129291e-05	5.648007e-05
9.201784841207971e-04	4.767591e-05	3.801406e-04
9.980412760530607e-04	8.551803e-07	8.769016e-04
1.060481825230374e-03	-3.748635e-05	1.307886e-03
1.124022820471033e-03	-7.070482e-05	1.700883e-03
1.189573331251945e-03	-9.336467e-05	1.997485e-03
1.241634912026959e-03	-1.004016e-04	2.120923e-03
1.261888432231954e-03	-1.002829e-04	2.138169e-03
1.284351210004954e-03	-9.826618e-05	2.136469e-03
1.306818136816657e-03	-9.430600e-05	2.112950e-03
1.321029121240774e-03	-9.083191e-05	2.087050e-03
1.333198191328501e-03	-8.728442e-05	2.058225e-03
1.345644918553655e-03	-8.313209e-05	2.022605e-03
1.359317649082562e-03	-7.799056e-05	1.976699e-03
1.373769016629791e-03	-7.193673e-05	1.920667e-03
1.388515997202231e-03	-6.515376e-05	1.856098e-03
1.418009958347110e-03	-4.998991e-05	1.706754e-03
1.476997880636867e-03	-1.516952e-05	1.347075e-03
1.542135426333500e-03	2.537220e-05	9.025086e-04
1.608702390575484e-03	6.232585e-05	4.707236e-04
1.683172793253721e-03	9.058482e-05	1.055919e-04
1.738938586464037e-03	9.910869e-05	-4.237582e-05
1.760883083656217e-03	9.915304e-05	-6.426277e-05
1.782715799052469e-03	9.731713e-05	-6.433412e-05
1.818127283259601e-03	9.045519e-05	-2.017297e-05
1.874637613306470e-03	7.042614e-05	1.562595e-04
1.960187104099920e-03	2.437663e-05	6.215310e-04
2.028188943963591e-03	-1.800058e-05	1.087444e-03
2.086967388633018e-03	-5.237055e-05	1.480617e-03
2.145695655440550e-03	-7.972878e-05	1.814262e-03
2.201581798400671e-03	-9.590665e-05	2.036037e-03
2.246536757573836e-03	-1.005213e-04	2.126624e-03
2.263712605244242e-03	-1.001928e-04	2.138778e-03
2.287317833398636e-03	-9.785318e-05	2.134572e-03
2.310277105384539e-03	-9.352820e-05	2.107447e-03
2.324944801896303e-03	-8.974702e-05	2.078454e-03
2.336833697598019e-03	-8.612533e-05	2.048480e-03
2.351352413030909e-03	-8.105774e-05	2.004290e-03
2.363793960560852e-03	-7.618131e-05	1.960157e-03
2.376098568076578e-03	-7.090449e-05	1.910936e-03
2.396028845958147e-03	-6.148143e-05	1.820503e-03
2.435889401721285e-03	-3.993893e-05	1.605061e-03
2.502717116114972e-03	9.259013e-07	1.174161e-03
2.570071253089361e-03	4.182238e-05	7.141774e-04
2.634816353794390e-03	7.416320e-05	3.237146e-04
2.716034050334189e-03	9.704418e-05	4.686320e-06
2.752213852721533e-03	9.936134e-05	-5.828605e-05
2.768604812553741e-03	9.871698e-05	-6.706653e-05
2.795267955781383e-03	9.542505e-05	-5.505835e-05
2.838328703332979e-03	8.449826e-05	2.863212e-05
2.906021810424750e-03	5.526323e-05	3.038667e-04
2.991815047051990e-03	4.766780e-06	8.329015e-04
3.056126394203104e-03	-3.492957e-05	1.279089e-03
3.122210709867747e-03	-6.988925e-05	1.690558e-03
3.184141026606787e-03	-9.204022e-05	1.978599e-03
3.232356134900121e-03	-9.991632e-05	2.107353e-03
3.258419408734013e-03	-1.004182e-04	2.136498e-03
3.278707012241005e-03	-9.895787e-05	2.138874e-03
3.301759176235234e-03	-9.536368e-05	2.120121e-03
3.317077045953376e-03	-9.187152e-05	2.095102e-03
3.329762551530779e-03	-8.833823e-05	2.066990e-03
3.342075934777282e-03	-8.437548e-05	2.033431e-03
3.356205411493145e-03	-7.921249e-05	1.987785e-03
3.369438911439306e-03	-7.381468e-05	1.938225e-03
3.382491990193654e-03	-6.799484e-05	1.883361e-03
3.408598147702350e-03	-5.503861e-05	1.757115e-03
3.460810462719740e-03	-2.513187e-05	1.452037e-03
3.526563342726308e-03	1.582254e-05	1.009772e-03
3.593764302015022e-03	5.477284e-05	5.617664e-04
3.663915854306483e-03	8.497698e-05	1.832691e-04
3.730405138182838e-03	9.857922e-05	-2.760555e-05
3.757685872625859e-03	9.926440e-05	-6.232895e-05
3.777513172024590e-03	9.792342e-05	-6.625379e-05
3.809714234982177e-03	9.250855e-05	-3.556120e-05
3.861359688279114e-03	7.604243e-05	1.038583e-04
3.940758015940842e-03	3.598170e-05	5.000772e-04
4.011879566619005e-03	-7.835075e-06	9.736744e-04
4.072237281416059e-03	-4.424381e-05	1.385616e-03
4.132924388414767e-03	-7.457843e-05	1.749182e-03
4.195492849112695e-03	-9.468478e-05	2.017114e-03
4.238077541558788e-03	-1.002553e-04	2.116092e-03
4.260561638841842e-03	-1.003402e-04	2.137594e-03
4.282192842715181e-03	-9.854526e-05	2.137610e-03
4.304424002726502e-03	-9.481848e-05	2.116467e-03
4.318962198327102e-03	-9.138259e-05	2.091355e-03
4.331334284758764e-03	-8.786118e-05	2.063015e-03
4.343465732232893e-03	-8.389625e-05	2.029290e-03
4.357426096445032e-03	-7.873678e-05	1.983462e-03
4.370080456485104e-03	-7.353982e-05	1.935684e-03
4.381902290960311e-03	-6.826784e-05	1.885942e-03
4.405545959910725e-03	-5.663586e-05	1.772926e-03
